roi,stat,value
L_MTL,mean1,1.1871927015012969
L_MTL,mean1,1.1552556280527964
L_MTL,mean1,1.162310203159582
L_MTL,mean1,1.1614479160072921
L_MTL,mean1,1.1629995379033937
L_MTL,sd1,0.09659046822868937
L_MTL,sd1,0.07168898834521466
L_MTL,sd1,0.05946303925989962
L_MTL,sd1,0.0753017280591963
L_MTL,sd1,0.08682998349706376
L_MTL,weight1,0.2205345777300223
L_MTL,weight1,0.19124889563596031
L_MTL,weight1,0.1622449543390338
L_MTL,weight1,0.15888236408329784
L_MTL,weight1,0.23586440107190082
L_MTL,bic,150.14030869612623
L_MTL,bic,99.00400543776755
L_MTL,bic,160.21850778264684
L_MTL,bic,132.96612949781783
L_MTL,bic,128.53314754054932
L_MTL,z,-1.9380038727847966
L_MTL,z,-2.1656830656497874
L_MTL,z,-2.7295981702206724
L_MTL,z,-2.144013426629127
L_MTL,z,-1.8772264065776967
R_MTL,mean1,1.1867778038131467
R_MTL,mean1,1.1154105292919427
R_MTL,mean1,1.1397423911022395
R_MTL,mean1,1.1408297130271021
R_MTL,mean1,1.1397369075587684
R_MTL,sd1,0.11379949404584262
R_MTL,sd1,0.04870720403774664
R_MTL,sd1,0.07271360610385624
R_MTL,sd1,0.08588334972256605
R_MTL,sd1,0.06636198984843805
R_MTL,weight1,0.30226527863626346
R_MTL,weight1,0.11767985975433946
R_MTL,weight1,0.1949387676680344
R_MTL,weight1,0.24330893367409365
R_MTL,weight1,0.15550644900204688
R_MTL,bic,162.18043834281445
R_MTL,bic,132.6590923154967
R_MTL,bic,123.25940869457452
R_MTL,bic,105.22436260195718
R_MTL,bic,122.3437128125353
R_MTL,z,-1.6412885257460434
R_MTL,z,-2.369475554427287
R_MTL,z,-1.9218190183367692
R_MTL,z,-1.639778996534631
R_MTL,z,-2.1056768773496537
L_temporal,mean1,1.1396204219556272
L_temporal,mean1,1.129012419976299
L_temporal,mean1,1.130932780532868
L_temporal,mean1,1.1305603902380765
L_temporal,mean1,1.135934551406604
L_temporal,sd1,0.061303456785279625
L_temporal,sd1,0.05988714849892823
L_temporal,sd1,0.05224534936881814
L_temporal,sd1,0.0593312154837582
L_temporal,sd1,0.05617585269389295
L_temporal,weight1,0.23801544152936244
L_temporal,weight1,0.2485580334453725
L_temporal,weight1,0.20208713648376309
L_temporal,weight1,0.23940604797807497
L_temporal,weight1,0.2173996524783984
L_temporal,bic,611.4592329462693
L_temporal,bic,634.308391803634
L_temporal,bic,633.2639736271728
L_temporal,bic,595.7743485695529
L_temporal,bic,642.6560215912779
L_temporal,z,-2.2775293478907583
L_temporal,z,-2.154258855363732
L_temporal,z,-2.506113598907489
L_temporal,z,-2.200534561335882
L_temporal,z,-2.4198039707082506
R_temporal,mean1,1.1237490193121502
R_temporal,mean1,1.128186763002129
R_temporal,mean1,1.1270433840351188
R_temporal,mean1,1.1226511167928614
R_temporal,mean1,1.1230487154554543
R_temporal,sd1,0.05249415295555708
R_temporal,sd1,0.054329291698299156
R_temporal,sd1,0.052404804947931
R_temporal,sd1,0.06525218416564302
R_temporal,sd1,0.051514030413456514
R_temporal,weight1,0.25521373707697365
R_temporal,weight1,0.21223655332971234
R_temporal,weight1,0.2584834895542399
R_temporal,weight1,0.23881401024120874
R_temporal,weight1,0.23824867357605636
R_temporal,bic,531.6873543880007
R_temporal,bic,567.5232386047884
R_temporal,bic,509.4857904946745
R_temporal,bic,590.6856624628764
R_temporal,bic,586.7566492988212
R_temporal,z,-2.3573867248971396
R_temporal,z,-2.359441085924225
R_temporal,z,-2.4242697623118366
R_temporal,z,-1.8796476832332683
R_temporal,z,-2.388644694811366
L_frontal,mean1,1.0612639873419167
L_frontal,mean1,1.0825857102884495
L_frontal,mean1,1.0669877403016386
L_frontal,mean1,1.0633299473304614
L_frontal,mean1,1.0660940160197814
L_frontal,sd1,0.0504021209286629
L_frontal,sd1,0.06593775006145623
L_frontal,sd1,0.06315404656446191
L_frontal,sd1,0.04399195932316066
L_frontal,sd1,0.06899527521329704
L_frontal,weight1,0.25333134944847563
L_frontal,weight1,0.2869492691770988
L_frontal,weight1,0.25325083426202566
L_frontal,weight1,0.20507394486994523
L_frontal,weight1,0.2643486609197325
L_frontal,bic,466.3949509259107
L_frontal,bic,419.71320643992476
L_frontal,bic,438.5316942251327
L_frontal,bic,458.7908679465572
L_frontal,bic,443.1703021077348
L_frontal,z,-1.2155041536570907
L_frontal,z,-1.2524799558898632
L_frontal,z,-1.0607038494875156
L_frontal,z,-1.4395800574656321
L_frontal,z,-0.9579498859226737
R_frontal,mean1,1.0783954859985754
R_frontal,mean1,1.075653264312775
R_frontal,mean1,1.0864284309818237
R_frontal,mean1,1.0757993950868454
R_frontal,mean1,1.0797207055309144
R_frontal,sd1,0.06076999226435451
R_frontal,sd1,0.06623386675102755
R_frontal,sd1,0.06438663300231344
R_frontal,sd1,0.06574247746297769
R_frontal,sd1,0.07515300455305365
R_frontal,weight1,0.28660399305219547
R_frontal,weight1,0.3164908689768994
R_frontal,weight1,0.2600910463242209
R_frontal,weight1,0.24113184381392014
R_frontal,weight1,0.3362829643517025
R_frontal,bic,414.97959084487195
R_frontal,bic,377.1404218381192
R_frontal,bic,477.58885046439013
R_frontal,bic,471.66263550394115
R_frontal,bic,409.0109895643811
R_frontal,z,-1.2900361358867465
R_frontal,z,-1.1422142179491777
R_frontal,z,-1.342334999544367
R_frontal,z,-1.1529744240248807
R_frontal,z,-1.0607786874926097
L_occipital,mean1,1.1043657362955583
L_occipital,mean1,1.1130107995704333
L_occipital,mean1,1.119128834749246
L_occipital,mean1,1.1049780264515532
L_occipital,mean1,1.1146865139540694
L_occipital,sd1,0.047581084089186154
L_occipital,sd1,0.06479465387065764
L_occipital,sd1,0.05255174057957554
L_occipital,sd1,0.03631716360584419
L_occipital,sd1,0.05259045582505602
L_occipital,weight1,0.2537738709409344
L_occipital,weight1,0.22258778719206862
L_occipital,weight1,0.25625456139074515
L_occipital,weight1,0.17747772167177087
L_occipital,weight1,0.257213863327828
L_occipital,bic,636.7464583392253
L_occipital,bic,723.9672573156173
L_occipital,bic,612.7796647924793
L_occipital,bic,604.0493893767872
L_occipital,bic,550.9594181186892
L_occipital,z,-2.193429138771509
L_occipital,z,-1.7441377153742366
L_occipital,z,-2.266886566180569
L_occipital,z,-2.8905899037407217
L_occipital,z,-2.1807476690367174
R_occipital,mean1,1.1078821866584518
R_occipital,mean1,1.1068021065728872
R_occipital,mean1,1.109452208552678
R_occipital,mean1,1.1080272305352938
R_occipital,mean1,1.1064235723413665
R_occipital,sd1,0.04002596355751128
R_occipital,sd1,0.05240219285659502
R_occipital,sd1,0.04377300896885269
R_occipital,sd1,0.057823753531546736
R_occipital,sd1,0.04049409154591595
R_occipital,weight1,0.200164119644587
R_occipital,weight1,0.29789361054123825
R_occipital,weight1,0.21418932571202792
R_occipital,weight1,0.2625934170092384
R_occipital,weight1,0.23065597922450842
R_occipital,bic,604.9680704353473
R_occipital,bic,580.6570663556736
R_occipital,bic,606.5832036883032
R_occipital,bic,576.4004810311772
R_occipital,bic,605.0330239403665
R_occipital,z,-2.695305173689108
R_occipital,z,-2.0381228485068212
R_occipital,z,-2.500449732175373
R_occipital,z,-1.8682154640196047
R_occipital,z,-2.628125938340747
L_parietal,mean1,1.100620895683621
L_parietal,mean1,1.1009073722751817
L_parietal,mean1,1.086472669006939
L_parietal,mean1,1.1020246795825728
L_parietal,mean1,1.0920277017510926
L_parietal,sd1,0.08984777672636013
L_parietal,sd1,0.07448170250069475
L_parietal,sd1,0.07021858528776305
L_parietal,sd1,0.06304557836121899
L_parietal,sd1,0.07375692966052692
L_parietal,weight1,0.2562621688596014
L_parietal,weight1,0.239378412362226
L_parietal,weight1,0.21410099247817496
L_parietal,weight1,0.2462154527808864
L_parietal,weight1,0.27561053684234676
L_parietal,bic,726.916544921059
L_parietal,bic,774.7414673100999
L_parietal,bic,795.0810956483805
L_parietal,bic,728.8592593554712
L_parietal,bic,710.823019797149
L_parietal,z,-1.11990412395035
L_parietal,z,-1.3547941156989585
L_parietal,z,-1.231478370755621
L_parietal,z,-1.6182685960627314
L_parietal,z,-1.247716006816697
R_parietal,mean1,1.096296426254207
R_parietal,mean1,1.0717652194093445
R_parietal,mean1,1.0709797861190704
R_parietal,mean1,1.079749025729281
R_parietal,mean1,1.080351019363716
R_parietal,sd1,0.052855749769988955
R_parietal,sd1,0.06421294557999918
R_parietal,sd1,0.05950329630454579
R_parietal,sd1,0.055953481538820043
R_parietal,sd1,0.05769690837303933
R_parietal,weight1,0.2098568505265787
R_parietal,weight1,0.2549994163523471
R_parietal,weight1,0.198426641432723
R_parietal,weight1,0.23214225209146594
R_parietal,weight1,0.21445586161554897
R_parietal,bic,734.0264340552275
R_parietal,bic,738.5996203978395
R_parietal,bic,719.0740451149736
R_parietal,bic,681.9285489113876
R_parietal,bic,709.184018094482
R_parietal,z,-1.8218722972100052
R_parietal,z,-1.1176129479987245
R_parietal,z,-1.1928714966610658
R_parietal,z,-1.4252737012253975
R_parietal,z,-1.3926399460471357
